confidence_threshold,accuracy_pct,precision_pct,recall_pct,magika_detections,true_positives,false_positives,false_negatives,true_negatives
0.0,88.41,31.52,96.3,165,52,113,2,825
0.05,88.41,31.52,96.3,165,52,113,2,825
0.1,88.41,31.52,96.3,165,52,113,2,825
0.15,88.41,31.52,96.3,165,52,113,2,825
0.2,88.41,31.52,96.3,165,52,113,2,825
0.25,88.31,31.1,94.44,164,51,113,3,825
0.3,89.62,32.87,87.04,143,47,96,7,842
0.35,92.34,40.0,81.48,110,44,66,10,872
0.4,95.16,53.95,75.93,76,41,35,13,903
0.45,97.78,84.78,72.22,46,39,7,15,931
0.5,98.49,100.0,72.22,39,39,0,15,938
0.55,98.49,100.0,72.22,39,39,0,15,938
0.6,98.49,100.0,72.22,39,39,0,15,938
0.65,98.49,100.0,72.22,39,39,0,15,938
0.7,98.49,100.0,72.22,39,39,0,15,938
0.75,98.49,100.0,72.22,39,39,0,15,938
0.8,98.39,100.0,70.37,38,38,0,16,938
0.85,97.68,100.0,57.41,31,31,0,23,938
0.9,97.68,100.0,57.41,31,31,0,23,938
0.95,97.48,100.0,53.7,29,29,0,25,938
1.0,94.56,0.0,0.0,0,0,0,54,938
